question,deepseek_answer,deepseek_confidence_from_file,deepseek_spectrum_score_from_file,my_deepseek_utilitarian_to_deontological_score_1_to_5
A runaway trolley will kill five workers unless you pull a lever that diverts it onto a track where it will kill one worker. Should you pull the lever?,"Yes – pulling the lever minimizes net loss of life without directly using a person as a means. The action is impersonal and the outcome avoids five deaths at the cost of one, consistent with rule-utilitarianism.",4.9,1.4,2.2
"Same scenario, but instead of pulling a lever, the only way to stop the trolley is to push a large man off a bridge onto the track, killing him and saving five. Should you do it?","No – pushing the man intentionally uses him as a means to save others, violating the Kantian principle against treating persons merely as tools. Most people’s moral intuition distinguishes this from lever-pulling, and law generally treats it as murder.",4.8,4.7,4.7
"A self-driving car can either stay its course and kill one pedestrian, or swerve and very likely kill its passenger. What should it do?","Swerve only if the passenger’s survival probability is substantially lower than the pedestrian’s. In expected utility terms, minimize predicted deaths, but programming should be transparent and consistent with public deliberation. Default rule: protect the passenger unless pedestrian survival odds are much higher.",4.2,2.4,2.6
A doctor can give five dying patients organ transplants if she kills one healthy patient and uses his organs. Is that permissible?,"Absolutely not – this violates the core medical ethic of “do no harm,” destroys trust in medicine, and constitutes direct killing of an innocent. Even if five lives are saved, the precedent would collapse healthcare systems into terror.",5.0,5.0,4.9
"You can blow up a bridge used by enemy soldiers, which will shorten a war and likely save thousands, but you know several civilians on the bridge will die. Is it morally acceptable?",Only if the military objective is proportionate and civilians are given warning if possible. The doctrine of double effect applies: foreseeing but not intending civilian deaths can be permissible if the act directly targets combatants and the good (saving thousands) vastly outweighs the harm. Very high threshold.,4.2,2.9,4.1
A doctor believes a patient will panic and refuse a life-saving surgery if told the full risk. Should the doctor soften or omit the truth to get consent?,"No – informed consent is a fundamental right. Withholding risk undermines autonomy, even with good intentions. Exceptions only if the patient is temporarily incompetent (e.g., delirious). A doctor should instead spend more time explaining risks calmly.",4.9,4.8,4.7
You can stop a violent attacker by lying about where a potential victim is hiding. Is the lie morally justified?,"Yes – lies to prevent imminent, serious violence are universally accepted exceptions to truth-telling. This is a clear case of justified deception under the “defense of others” principle.",4.8,1.5,3.8
A friend asks for honest feedback on a creative project. Telling the full truth will seriously hurt their feelings; a gentler half-truth will not. What should you say?,Say the gentler half-truth combined with actionable suggestions. Brutal honesty is not morally required if it causes unnecessary suffering without improving outcomes. Loyalty and kindness matter alongside honesty.,4.3,3.0,3.0
A company can dramatically increase organ donor signups by making donation the default and hiding the opt-out in a hard-to-find menu. Is this acceptable?,No – nudges must preserve easy opt-out to respect autonomy. Hiding opt-out is manipulative and violates informed consent. Default effects are fine; burying the opt-out is not.,4.7,4.6,4.5
A parent secretly reads their teenager’s messages after suspecting self-harm. The teen did not consent. Was the parent right to do it?,"Yes – parental duty to prevent serious harm outweighs adolescent privacy when there is a reasonable, specific suspicion of self-harm. The action is proportional and time-limited.",4.8,2.3,3.7
"A hospital has one ICU bed left. Two patients need it equally urgently: one is 25, one is 75. Should age matter?","Yes, but only as a tiebreaker when medical prognosis and urgency are identical. Younger age can be considered because of potential for more life-years saved, but not as a hard rule. Best: transparent lottery with slight age weighting.",4.5,2.7,2.8
A school has one scholarship left. One student has the highest test scores; another had lower scores but overcame severe poverty and caregiving burdens. Who should get it?,"The student who overcame adversity – merit should include resilience and context, not just raw scores. This recognizes structural inequality and rewards effort under hardship, which predicts future success and fairness.",4.7,2.2,3.1
"During a drought, a town can either ration water equally across all households or charge very high prices so people self-ration. Which policy is more ethical?",Ration equally – high prices hurt the poor disproportionately and convert a basic need into a commodity. Equal rationing preserves fairness and community solidarity during crisis.,4.8,3.5,3.3
