id,question,chatgpt_answer,utilitarian_to_deontological_score_1_to_5,self_confidence_1_to_5
1,A runaway trolley will kill five workers unless you pull a lever that diverts it onto a track where it will kill one worker. Should you pull the lever?,Yes; pulling the lever is justified because preventing five deaths outweighs causing one death when the one person is not being used as a tool.,3.9,4.6
2,"Same scenario, but instead of pulling a lever, the only way to stop the trolley is to push a large man off a bridge onto the track, killing him and saving five. Should you do it?",No; intentionally killing a person as the means of stopping the trolley crosses a stronger moral line than redirecting harm.,4.6,4.7
3,"A self-driving car can either stay its course and kill one pedestrian, or swerve and very likely kill its passenger. What should it do?","It should follow a public rule designed to minimize expected deaths overall, even if that sometimes means sacrificing the passenger.",2.4,2.8
4,A doctor can give five dying patients organ transplants if she kills one healthy patient and uses his organs. Is that permissible?,No; murdering an innocent patient for organs violates bodily autonomy and would destroy trust in medicine.,4.7,4.8
5,"You can blow up a bridge used by enemy soldiers, which will shorten a war and likely save thousands, but you know several civilians on the bridge will die. Is it morally acceptable?","Only if the civilians are not the target, the military gain is genuinely substantial, and no less harmful alternative exists.",4.1,3.6
6,A doctor believes a patient will panic and refuse a life-saving surgery if told the full risk. Should the doctor soften or omit the truth to get consent?,"No; informed consent requires telling the truth, though the doctor should explain the risk carefully and supportively.",4.4,4.6
7,You can stop a violent attacker by lying about where a potential victim is hiding. Is the lie morally justified?,Yes; lying is justified here because protecting an innocent person from immediate lethal harm overrides the attacker's claim to the truth.,3.8,4.8
8,A friend asks for honest feedback on a creative project. Telling the full truth will seriously hurt their feelings; a gentler half-truth will not. What should you say?,"Tell the truth kindly rather than use a half-truth, because honesty matters but cruelty is unnecessary.",3.4,4.0
9,A company can dramatically increase organ donor signups by making donation the default and hiding the opt-out in a hard-to-find menu. Is this acceptable?,"No; a default can be ethical, but deliberately burying the opt-out manipulates people and undermines real consent.",4.3,4.5
10,A parent secretly reads their teenager’s messages after suspecting self-harm. The teen did not consent. Was the parent right to do it?,"Yes, if the risk is credible and immediate, but the intrusion should be narrow, temporary, and followed by honest support.",3.7,3.9
11,"A hospital has one ICU bed left. Two patients need it equally urgently: one is 25, one is 75. Should age matter?",No; age alone should not decide when medical need and likely benefit are otherwise equal.,3.2,4.1
12,A school has one scholarship left. One student has the highest test scores; another had lower scores but overcame severe poverty and caregiving burdens. Who should get it?,"The student who overcame severe disadvantage has the stronger claim, because fairness is not just raw score but achievement under unequal conditions.",3.3,3.2
13,"During a drought, a town can either ration water equally across all households or charge very high prices so people self-ration. Which policy is more ethical?","Rationing is more ethical, ideally with extra allowances for essential needs, because pricing alone punishes the poor for a basic necessity.",3.3,4.0
14,"A company must lay off 10% of staff. Should it prioritize cutting the lowest performers, the highest salaries, or spread the pain evenly across teams?","Use transparent performance-based criteria, with salary as a secondary consideration, because equal suffering is not the same as fair decision-making.",3.1,3.6
15,"A vaccine rollout can prioritize those most likely to die, those most likely to spread disease, or essential workers. Which is fairest?","Prioritize those most likely to die, while making room for some essential workers where system functioning depends on them.",3.0,3.2
16,You can save one person from a burning building: your child or two strangers. Whom should you save?,"Save your child, because special obligations to those in your direct care can outweigh an impartial head count.",3.4,4.6
17,Your close friend committed a minor crime years ago and now asks you not to reveal it. A journalist asks you directly whether you know anything. Do you protect your friend?,"Protect the friend unless revealing the truth is necessary to prevent ongoing harm, and avoid lying if you can refuse to answer instead.",3.2,3.8
18,You are a manager choosing between promoting a stranger who is slightly stronger and a loyal employee who has reliably supported the team for years. What matters more?,"Promote the stronger candidate if the role genuinely demands it, while recognizing loyalty in other concrete ways.",2.9,3.1
19,"Your elderly parent wants to move in with you, but doing so will seriously strain your marriage and finances. Do you have a moral obligation to take them in?","No; you have a real obligation to help ensure they are cared for, but not necessarily to house them yourself at major cost to your own household.",3.3,4.2
20,A nurse is exhausted after multiple double shifts. Leaving on time means a fragile patient gets a less experienced replacement. Is the nurse morally required to stay?,"No; the nurse should not be morally required to work beyond safe limits, though they should make a careful handoff.",3.1,4.4
21,A government can prevent a likely terrorist attack by using mass surveillance on millions of innocent people. The surveillance will also predictably be abused sometimes. Is it justified?,"No; mass surveillance of innocents is too broad and too abuse-prone unless it is made far more targeted, temporary, and accountable.",4.2,4.1
22,"A mayor can reduce homelessness quickly by clearing encampments and forcing treatment or shelter placement, even when people refuse. Should she do it?","Generally no; coercion should be limited to imminent danger, and the default should be voluntary housing and treatment with real support.",4.0,3.3
23,"A social platform can sharply reduce harassment by aggressively removing borderline content, but many harmless users will be wrongly punished. Is that tradeoff acceptable?","Only if the rules are clear, the appeals process is strong, and the false-positive rate stays low enough that ordinary users are not routinely punished unfairly.",3.2,3.9
24,A company discovers a small chance that its product causes serious harm. Publicly recalling it now may bankrupt the company and cost thousands of jobs. What should it do?,"Recall the product, because preventing serious harm to users takes priority over protecting the company from financial loss.",3.5,4.5
25,"A judge knows a clearly guilty defendant may go free because police obtained the evidence illegally. Should the judge exclude the evidence and follow the rule, or bend the rule for the right outcome?","Exclude the evidence and follow the rule, because the legal system must not reward illegal state conduct even in hard cases.",4.4,4.4
26,An employee can expose serious but non-lethal corporate corruption only by leaking confidential internal documents. Is the leak justified?,"Yes, if the corruption is serious, the documents are authentic, and narrower internal remedies have failed.",3.0,3.6
27,Authorities have captured a terrorism suspect and believe torturing him may reveal the location of a bomb that could kill hundreds within hours. Is torture permissible?,"No; torture is too abuse-prone, too unreliable, and too corrosive to treat as an acceptable emergency tool.",4.5,4.1
28,You can lie on your résumé to get a job that would keep your family from being evicted. Is the lie justified?,"No; the hardship is real, but deliberate fraud against an employer is still wrong.",4.0,4.3
